adIdText;linkref;priceTagText;floatRText;listingH3Text;meuble;lat;lon
7456068;https://www.mubawab.ma/fr/a/7456068/appartements-%C3%A0-louer-par-mois;2100 DH;3 chambres, 100 m²;Hamria à   Meknes;False;33.87761303616968;-5.560798645019531
7456041;https://www.mubawab.ma/fr/a/7456041/appartement-location-longue-dur%C3%A9e-oued-zem;1800 DH;2 chambres, 145 m²; à   Oued zem;False;32.860411352273694;-6.5753173828125
7455986;https://www.mubawab.ma/fr/a/7455986/appartement-f4-de-128m%C2%B2-habitable-52m%C2%B2-terrasse;8500 DH;3 chambres, 180 m²;Gauthier à   Casablanca;False;33.59034527638075;-7.631009996940662
7455960;https://www.mubawab.ma/fr/a/7455960/bel-appartement-en-location-%C3%A0-magic-house-manssouria-bien-meubl%C3%A9;750 DH;1 chambre, 70 m²;Plage Oued Cherrat à   Bouznika;True;33.789919196461405;-7.158708572387695
7455954;https://www.mubawab.ma/fr/a/7455954/appartement-en-location-%C3%A0-derb-ghalef-2-pi%C3%A8ces-ascenseur-et-terrasse;5800 DH;2 chambres, 110 m²;Derb Ghalef à   Casablanca;False;33.59828500323537;-7.646913528442383
7442252;https://www.mubawab.ma/fr/a/7442252/appartement-s3-haut-standing-%C3%A0-louer-vide;5500 DH;3 chambres, 115 m²; à   Nouaceur;False;33.382432843855234;-7.565116882324219
7455930;https://www.mubawab.ma/fr/a/7455930/louez-cet-appartement-%C3%A0-sa%C3%AFdia-1-pi%C3%A8ce-;1500 DH;2 chambres, 126 m²; à   Saïdia;False;35.0906979730151;-2.2456741333007812
7455920;https://www.mubawab.ma/fr/a/7455920/appartement-%C3%A0-louer-nassim;3000 DH;3 chambres, 62 m²;Nassim à   Mohammedia;False;33.68115397382078;-7.39978551864624
7455906;https://www.mubawab.ma/fr/a/7455906/bel-appartement-en-location-%C3%A0-wifak-4-grandes-pi%C3%A8ces-concierge;5000 DH;2 chambres, 100 m²;Wifak à   Temara;False;33.92712382336637;-6.903190612792969
7455756;https://www.mubawab.ma/fr/a/7455756/location-d-appartement-a-casablanca-maarif;9000 DH;2 chambres, 178 m²;Maârif à   Casablanca;False;33.58602331802259;-7.636442184448242
